depdom,ADEC,MDEC,JDEC,dc_j
02,2018,8,13,17
02,2018,8,14,11
02,2018,8,15,11
02,2018,8,16,12
02,2018,8,17,11
02,2018,8,18,9
02,2018,8,19,6
02,2018,8,20,11
02,2018,8,21,14
02,2018,8,22,12
02,2018,8,23,15
02,2018,8,24,11
02,2018,8,25,18
02,2018,8,26,15
02,2018,8,27,14
02,2018,8,28,16
02,2018,8,29,18
02,2018,8,30,12
02,2018,8,31,10
02,2018,9,1,17
02,2018,9,2,12
02,2018,9,3,19
02,2018,9,4,11
02,2018,9,5,20
02,2018,9,6,7
02,2018,9,7,14
02,2018,9,8,12
02,2018,9,9,11
02,2018,9,10,11
02,2018,9,11,12
02,2018,9,12,12
02,2018,9,13,21
02,2018,9,14,14
02,2018,9,15,15
02,2018,9,16,14
02,2018,9,17,11
02,2018,9,18,12
02,2018,9,19,20
02,2018,9,20,14
02,2018,9,21,10
02,2018,9,22,11
02,2018,9,23,12
02,2018,9,24,17
02,2018,9,25,14
02,2018,9,26,16
02,2018,9,27,18
02,2018,9,28,24
02,2018,9,29,14
02,2018,9,30,9
02,2018,10,1,19
02,2018,10,2,18
02,2018,10,3,12
02,2018,10,4,17
02,2018,10,5,16
02,2018,10,6,15
02,2018,10,7,19
02,2018,10,8,7
02,2018,10,9,13
02,2018,10,10,17
02,2018,10,11,14
02,2018,10,12,16
02,2018,10,13,11
02,2018,10,14,13
02,2018,10,15,10
02,2018,10,16,19
02,2018,10,17,13
02,2018,10,18,9
02,2018,10,19,16
02,2018,10,20,11
02,2018,10,21,16
02,2018,10,22,18
02,2018,10,23,17
02,2018,10,24,21
02,2018,10,25,19
02,2018,10,26,11
02,2018,10,27,17
02,2018,10,28,27
02,2018,10,29,17
02,2018,10,30,27
02,2018,10,31,22
02,2018,11,1,21
02,2018,11,2,12
02,2018,11,3,14
02,2018,11,4,14
02,2018,11,5,16
02,2018,11,6,17
02,2018,11,7,13
02,2018,11,8,15
02,2018,11,9,17
02,2018,11,10,17
02,2018,11,11,15
02,2018,11,12,12
02,2018,11,13,10
02,2018,11,14,12
02,2018,11,15,14
02,2018,11,16,15
02,2018,11,17,17
02,2018,11,18,10
02,2018,11,19,16
02,2018,11,20,13
02,2018,11,21,20
02,2018,11,22,14
02,2018,11,23,17
02,2018,11,24,19
02,2018,11,25,19
02,2018,11,26,24
02,2018,11,27,16
02,2018,11,28,13
02,2018,11,29,11
02,2018,11,30,16
02,2018,12,1,14
02,2018,12,2,12
02,2018,12,3,18
02,2018,12,4,12
02,2018,12,5,20
02,2018,12,6,12
02,2018,12,7,14
02,2018,12,8,18
02,2018,12,9,14
02,2018,12,10,20
02,2018,12,11,12
02,2018,12,12,11
02,2018,12,13,23
02,2018,12,14,17
02,2018,12,15,17
02,2018,12,16,11
02,2018,12,17,19
02,2018,12,18,19
02,2018,12,19,12
02,2018,12,20,11
02,2018,12,21,18
02,2018,12,22,19
02,2018,12,23,14
02,2018,12,24,14
02,2018,12,25,20
02,2018,12,26,18
02,2018,12,27,21
02,2018,12,28,19
02,2018,12,29,16
02,2018,12,30,17
02,2018,12,31,27
02,2019,1,1,16
02,2019,1,2,17
02,2019,1,3,14
02,2019,1,4,19
02,2019,1,5,17
02,2019,1,6,26
02,2019,1,7,20
02,2019,1,8,18
02,2019,1,9,14
02,2019,1,10,16
02,2019,1,11,16
02,2019,1,12,22
02,2019,1,13,15
02,2019,1,14,15
02,2019,1,15,18
02,2019,1,16,21
02,2019,1,17,18
02,2019,1,18,22
02,2019,1,19,18
02,2019,1,20,23
02,2019,1,21,16
02,2019,1,22,21
02,2019,1,23,20
02,2019,1,24,15
02,2019,1,25,15
02,2019,1,26,17
02,2019,1,27,26
02,2019,1,28,15
02,2019,1,29,15
02,2019,1,30,12
02,2019,1,31,19
02,2019,2,1,21
02,2019,2,2,19
02,2019,2,3,18
02,2019,2,4,19
02,2019,2,5,20
02,2019,2,6,11
02,2019,2,7,26
02,2019,2,8,17
02,2019,2,9,17
02,2019,2,10,20
